Code,Name,Country Code,Country
AFL/NAFL,Allied Farmers - NZ Farmers Livestock,NZ,New Zealand
NATC,ANZ (and The National Bank) Credit Cards,NZ,New Zealand
ANZL,ANZ (and The National Bank) Loans and Term Deposits,NZ,New Zealand
ANZ,ANZ Bank New Zealand,NZ,New Zealand
ASB,ASB Bank,NZ,New Zealand
ASCC,ASB Bank Business Credit Cards,NZ,New Zealand
ATS,ATS - Ashburton Trading Society,NZ,New Zealand
BRC,Bartercard NZ,NZ,New Zealand
OZN,BarterZone,NZ,New Zealand
BNZ,BNZ - Bank of New Zealand,NZ,New Zealand
BNZC,BNZ Credit Cards,NZ,New Zealand
CBS,CBS Canterbury (Heartland Building Society),NZ,New Zealand
CRT,CRT,NZ,New Zealand
DCNZ,Diners Club NZ,NZ,New Zealand
FARM,Farmlands,NZ,New Zealand
FFNT/NFNT,Fonterra,NZ,New Zealand
HSBC,HSBC,NZ,New Zealand
KIWI,Kiwibank,NZ,New Zealand
KICC,Kiwibank Credit Cards,NZ,New Zealand
NBS,NBS - Nelson Building Society,NZ,New Zealand
OC,Open Country,NZ,New Zealand
PWD/PWT,PGG Wrightson,NZ,New Zealand
PWF,PGG Wrightson Finance (Heartland Building Society),NZ,New Zealand
RABO,Rabobank New Zealand,NZ,New Zealand
FNT/NFNT,RD1,NZ,New Zealand
SBS,SBS - Southland Building Society,NZ,New Zealand
TCDC,Tatua,NZ,New Zealand
COOP,The Co-operative Bank,NZ,New Zealand
NAT,The National Bank (ANZ),NZ,New Zealand
TSB,TSB Bank,NZ,New Zealand
WBS,WBS - Wairarapa Building Society,NZ,New Zealand
WLD,Westland Milk Products,NZ,New Zealand
WBC,Westpac,NZ,New Zealand
WBCC,Westpac Credit Card - BusinessPLUS Gold MasterCard,NZ,New Zealand
ADL,Adelaide Bank,OZ,Australia
NAC,Alliance One Credit Union,OZ,Australia
AMP,AMP Bank,OZ,Australia
ANZ,ANZ,OZ,Australia
ANCC,ANZ Commercial Credit Cards,OZ,Australia
ANZC,ANZ Credit Cards,OZ,Australia
ANZP,ANZ V2 PLUS,OZ,Australia
ARAB,Arab Bank Australia,OZ,Australia
ADIG,Armidale Diocesan Investment Group (ADIG),OZ,Australia
AMM,Australian Money Market,OZ,Australia
AWB,AWB,OZ,Australia
BEBS,B & E,OZ,Australia
BOQ,Bank of Queensland,OZ,Australia
MEM,Bankmecu,OZ,Australia
BW,Bankwest,OZ,Australia
BWCC,Bankwest Credit Cards,OZ,Australia
BCU,BCU Community Credit Union,OZ,Australia
BER,BDCU (Berrima District Credit Union),OZ,Australia
LKI,Beirut Hellenic Bank,OZ,Australia
BND,Bendigo Bank,OZ,Australia
BRH,Broken Hill Community Credit Union,OZ,Australia
BTF,BT Financial Group,OZ,Australia
BTFC,BT Financial Group ** CASH ONLY SERVICE **,OZ,Australia
YAR,Central Murray Credit Union,OZ,Australia
CWE,Central West Credit Union,OZ,Australia
COA,Coastline Credit Union,OZ,Australia
CBA,Commonwealth Bank,OZ,Australia
CCA,Commonwealth Bank Credit Cards,OZ,Australia
CPS,Community CPS Australia,OZ,Australia
COF,Country First Credit Union,OZ,Australia
PWR,Credit Union SA,OZ,Australia
CUA,CUA (Credit Union Australia),OZ,Australia
DDH,DDH Graham Limited,OZ,Australia
DNI,Dnister Ukrainian Credit Co-operative,OZ,Australia
ELE,ECU (Electricity Credit Union),OZ,Australia
ELD,Elders Rural Services,OZ,Australia
FAM,Family First Credit Union,OZ,Australia
FCCS,FCCS Credit Union,OZ,Australia
CAL,First Choice Credit Union,OZ,Australia
BNL,Fonterra (Bonlac Foods),OZ,Australia
GMC,Goulburn Murray Credit Union Co-Operative,OZ,Australia
GRE,Greater Building Society,OZ,Australia
HER,Heritage Bank,OZ,Australia
HOL,Holiday Coast Credit Union,OZ,Australia
HRCU,Horizon Credit Union,OZ,Australia
HSBC,HSBC,OZ,Australia
HUME,Hume Building Society,OZ,Australia
ILM,IMB (Illawarra Mutual Building Society),OZ,Australia
MCAC,Macarthur Credit Union,OZ,Australia
MQB,Macquarie Bank,OZ,Australia
MAQ,Macquarie Investment Management,OZ,Australia
MQW,Macquarie Wrap,OZ,Australia
MMP,Maritime Mining & Power Credit Union,OZ,Australia
NAB,National Australia Bank,OZ,Australia
NABC,National Australia Bank Credit Cards,OZ,Australia
NPBS,Newcastle Permanent Building Society,OZ,Australia
MWCU,Northern Beaches Credit Union,OZ,Australia
NIN,Northern Inland Credit Union,OZ,Australia
ORA,Orange Credit Union,OZ,Australia
ORM,Ord Minnett,OZ,Australia
ACCU,People's Choice Credit Union (trading name of Australian Central Credit Union),OZ,Australia
PPM,Private Portfolio Managers,OZ,Australia
QCCU,Queensland Country Credit Union,OZ,Australia
RAB,Rabobank,OZ,Australia
ELDB,Rural Bank,OZ,Australia
RFC,Rural Finance,OZ,Australia
SYD,SCU (Sydney Credit Union),OZ,Australia
SGE,SGE Credit Union,OZ,Australia
SWC,South West Credit,OZ,Australia
SWS,South West Slopes Credit Union,OZ,Australia
SOX,Southern Cross Credit Union,OZ,Australia
EBK,St. George Bank,OZ,Australia
STGC,St. George Bank Credit Cards,OZ,Australia
SUM,Summerland Credit Union,OZ,Australia
SUN,Suncorp Bank,OZ,Australia
STHD,Sutherland Credit Union,OZ,Australia
STM,Swan Hill Credit Union,OZ,Australia
CAP,The Capricornian,OZ,Australia
ENG,The Community Mutual Group . New England Mutual . Hunter Mutual . Orana Mutual.,OZ,Australia
MAI,The Mutual (Maitland Mutual Building Society Limited),OZ,Australia
RCK,The Rock Building Society,OZ,Australia
TIO,TIO (Territory Insurance Office),OZ,Australia
WRW,Warwick Credit Union,OZ,Australia
WAW,WAW Credit Union,OZ,Australia
WBC,Westpac,OZ,Australia
WBCC,Westpac Credit Cards,OZ,Australia
